#Wavelength (nm)	% Transmission (Unpol.)
945	94.108948
950	94.110623
955	94.119804
960	94.129682
965	94.136023
970	94.16878
975	94.172628
980	94.183587
985	94.192185
990	94.203385
995	94.189099
1000	94.178225
1005	94.194216
1010	94.207285
1015	94.195894
1020	94.210873
1025	94.202675
1030	94.194847
1035	94.207233
1040	94.211387
1045	94.227982
1050	94.211305
1055	94.216354
1060	94.201815
1065	94.207201
1070	94.223357
1075	94.228954
1080	94.203243
1085	94.213987
1090	94.221127
1095	94.226939
1100	94.237635
1105	94.206273
1110	94.207241
1115	94.231341
1120	94.249817
1125	94.227735
1130	94.223605
1135	94.234994
1140	94.245246
1145	94.239103
1150	94.241304
1155	94.2569
1160	94.254119
1165	94.266199
1170	94.262762
1175	94.24703
1180	94.239201
1185	94.270205
1190	94.269709
1195	94.261678
1200	94.297194
1205	94.282558
1210	94.263446
1215	94.271413
1220	94.288924
1225	94.294517
1230	94.275477
1235	94.26397
1240	94.299144
1245	94.316648
1250	94.295869
1255	94.323711
1260	94.32538
1265	94.298153
1270	94.325284
1275	94.322055
1280	94.310604
1285	94.335848
1290	94.334251
1295	94.347674
1300	94.339456
1305	94.326422
1310	94.348892
1315	94.340238
1320	94.365687
1325	94.352781
1330	94.370322
1335	94.345891
1340	94.365088
1345	94.347306
1350	94.337842
1355	94.316701
1360	94.337193
1365	94.346515
1370	94.325251
1375	94.334707
1380	94.306348
1385	94.307169
1390	94.331623
1395	94.32104
1400	94.390395
1405	94.383872
1410	94.345736
1415	94.366259
1420	94.33714
1425	94.326425
1430	94.361255
1435	94.378038
1440	94.336877
1445	94.337323
1450	94.359632
1455	94.356991
1460	94.333084
1465	94.334248
1470	94.363808
1475	94.373455
1480	94.348376
1485	94.320008
1490	94.327373
1495	94.350947
1500	94.365053
1505	94.348059
1510	94.3167
1515	94.288967
1520	94.295956
1525	94.32051
1530	94.330711
1535	94.33206
1540	94.327422
1545	94.324545
1550	94.301435
1555	94.277024
1560	94.272172
1565	94.259414
1570	94.241417
1575	94.255588
1580	94.268256
1585	94.287443
1590	94.3066
1595	94.313356
1600	94.32211
1605	94.325144
1610	94.326565
1615	94.31931
1620	94.306299
1625	94.312636
1630	94.315454
1635	94.311132
1640	94.314149
1645	94.302439
1650	94.293135
1655	94.293423
1660	94.283777
1665	94.247776
1670	94.213385
1675	94.211928
1680	94.197051
1685	94.182575
1690	94.214812
1695	94.239415
1700	94.247397
1705	94.255031
1710	94.258768
1715	94.281868
1720	94.280491
1725	94.241246
1730	94.214241
1735	94.213721
1740	94.238104
1745	94.272949
1750	94.289418
1755	94.297008
1760	94.267709
1765	94.225113
1770	94.211877
1775	94.238055
1780	94.311712
1785	94.343552
1790	94.30234
1795	94.268323
1800	94.243898
1805	94.252844
1810	94.292672
1815	94.321419
1820	94.258398
1825	94.219218
1830	94.29453
1835	94.346677
1840	94.29337
1845	94.271825
1850	94.276518
1855	94.292791
1860	94.321247
1865	94.329233
1870	94.273093
1875	94.299249
1880	94.361095
1885	94.332325
1890	94.331097
1895	94.408532
1900	94.392124
1905	94.353879
1910	94.416957
1915	94.46426
1920	94.397939
1925	94.350858
1930	94.388137
1935	94.369904
1940	94.29889
1945	94.316179
1950	94.377013
1955	94.333114
1960	94.343287
1965	94.430631
1970	94.368921
1975	94.358441
1980	94.44458
1985	94.402331
1990	94.367732
1995	94.452483
2000.065834	94.66986368
2004.863527	94.61298367
2009.942668	94.83767888
2015.021015	95.14983552
2020.098566	94.91967009
2024.893299	94.58387792
2029.969298	94.88317211
2035.044496	94.70746868
2039.837	94.99967294
2044.910634	94.83658791
2049.98346	94.82103328
2054.77372	94.60420022
2059.844971	94.76115697
2064.915408	94.67115873
2069.985031	94.76298437
2074.772257	94.64475776
2079.840289	94.54825812
2084.907499	94.66101793
2089.973887	94.55544604
2094.758051	94.77346939
2099.822832	94.87091655
2104.886784	94.66799597
2109.949906	94.79911348
2114.730977	94.6036841
2119.792477	94.63317972
2124.85314	94.88152822
2129.912964	94.89488912
2134.690915	94.28307902
2139.749102	94.55136736
2144.806445	94.76840491
2149.862941	94.52270236
2154.637741	94.84487091
2159.692584	94.89155499
2164.746575	94.57129632
2169.799712	94.32054843
2174.571332	94.58957516
2179.622801	94.97069864
2184.673409	94.64455309
2189.723155	95.00221952
2194.772037	94.84016181
2199.539629	94.77696307
2204.586824	94.70201072
2209.633149	94.80585392
2214.678601	95.04151322
2219.723179	94.64162362
2224.486698	94.93832703
2229.52957	94.33088094
2234.571562	94.41982173
2239.612672	94.77496594
2244.652898	94.40583505
2249.692237	94.60540244
2254.450798	94.60599744
2259.488408	95.01487907
2264.525127	94.76044215
2269.560952	94.41947238
2274.595881	94.41470487
2279.629911	94.74479777
2284.663042	94.74271117
2289.415726	94.73218045
2294.447102	94.6407593
2299.477571	94.75605538
2304.507133	94.84290429
2309.535784	94.65445281
2314.563524	94.69240642
2319.590351	94.81003201
2324.337068	94.70362343
2329.362112	94.52306784
2334.386236	94.91624003
2339.409439	94.63172078
2344.431718	94.70828318
2349.453071	94.42556936
2354.473497	94.73654378
2359.492994	94.69671374
2364.511559	94.75332207
2369.250458	94.7337007
2374.267206	94.64341625
2379.283017	94.38138753
2384.297888	94.71350832
2389.311818	94.48605291
2394.324805	94.87360277
2399.336847	94.54338995
2404.347942	94.79786558
2409.358087	94.28547649
2414.367281	94.65799112
2419.375522	94.7053146
2424.382808	94.76968067
2429.389137	94.49299018
2434.394506	94.69000821
2439.398915	94.75843082
2444.124416	94.64865114
2449.126951	95.11450165
2454.128518	94.66136119
2459.129116	94.74824245
2464.128744	94.75446199
2469.127399	94.70623044
2474.125079	94.42153822
2479.121782	94.77868131
2484.117507	94.71789389
2489.112251	94.70212453
2494.106012	94.43730939
2499.098789	94.93308967
2504.090579	94.8035336
2509.08138	95.01290392
2514.071191	94.61302393
2519.06001	94.81794672
2524.047834	94.39662186
2529.034661	94.62258795
2534.02049	94.99490505
2539.005319	94.84682862
2543.989145	94.7645813
2548.971967	94.61199261
2553.953782	94.56017717
2558.93459	94.66222784
2564.191013	94.74083995
2569.169741	94.52003244
2574.147456	94.80866293
2579.124154	94.46437441
2584.099834	94.51066408
2589.074494	94.65222521
2594.048132	94.50573938
2599.020745	94.72771681
2603.992333	94.42662466
2608.962892	94.85769515
2613.932422	94.87379351
2618.90092	94.87388486
2623.868383	94.63477354
2628.834811	94.32633287
2634.076026	94.71424721
2639.040318	94.8979553
2644.003569	94.72632255
2648.965775	94.94925413
2653.926936	94.50319661
2658.88705	94.72027702
2663.846113	94.71077872
2668.804125	94.10265034
2673.761084	94.45822957
2678.992283	94.56469824
2683.94707	94.59393174
2688.900797	94.24871356
2693.853462	94.4149385
2698.805064	94.19462046
2703.7556	94.25255201
2708.705069	93.58692852
2713.928349	93.99185176
2718.875617	94.15016739
2723.821813	93.80049202
2728.766933	93.68950583
2733.710976	93.68268272
2738.653939	93.55448333
2743.870339	93.74352083
2748.811078	93.49710148
2753.750732	94.11395603
2758.689299	94.12544345
2763.626776	94.04635616
2768.837375	93.88476123
2773.772607	93.38231487
2778.706745	94.12662431
2783.639786	93.84745427
2788.571728	93.99996309
2793.776472	93.83208426
2798.706149	93.90759754
2803.634721	93.86005606
2808.562186	94.04785499
2813.762196	94.01054492
2818.68738	94.15571745
2823.611451	93.82983072
2828.534408	93.87976472
2833.72965	94.09071501
2838.650309	93.96143213
2843.569847	94.06736105
2848.488263	93.93331707
2853.678704	94.09603126
2858.594806	93.84192397
2863.509779	93.89391007
2868.423622	93.76913746
2873.609228	93.82517927
2878.520741	93.78652268
2883.431118	93.90277328
2888.613058	93.74413346
2893.521093	93.76947854
2898.427986	93.8007342
2903.606242	93.52779954
2908.51078	93.73762034
2913.41417	93.86694165
2918.588723	93.83318233
2923.489747	93.77354781
2928.389616	93.73628523
2933.560446	93.86664196
2938.457937	93.99716843
2943.354268	93.75124288
2948.521357	93.65413308
2953.415298	93.29523644
2958.308072	93.6634849
2963.4714	93.3809506
2968.361772	93.57717939
2973.250972	93.63850514
2978.41052	93.53300347
2983.297305	93.41001396
2988.4543	93.55849206
2993.338662	93.73917907
2998.221842	93.40561168
3003.375026	93.32174552
3008.255771	93.87225034
3013.40638	93.31072898
3018.284682	93.58533208
3023.161792	93.2421625
3028.308558	93.37081387
3033.183212	93.1142762
3038.327382	93.66629299
3043.199573	93.52839021
3048.341138	93.40974415
3053.210858	93.45600808
3058.34981	93.27359905
3063.21705	93.57566086
3068.35338	93.57060156
3073.218131	93.4603132
3078.08167	93.45494817
3083.214087	93.5672766
3088.075126	93.30752985
3093.2049	93.33217133
3098.06343	93.43805307
3103.190552	93.8099424
3108.046567	93.31658349
3113.171029	93.06653109
3118.024519	93.51131258
3123.146312	93.40420274
3127.99727	93.75358359
3133.116386	93.51699621
3138.234123	93.64400939
3143.081233	93.66539022
3148.19628	93.20633384
3153.040837	93.41066682
3158.153186	93.50095233
3162.995182	93.26078351
3168.104824	93.36865008
3172.944251	93.25454333
3178.051177	93.43197934
3183.156704	92.97359491
3187.992228	93.88566241
3193.095027	93.709195
